t,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
06:45:00,2.96502858191,5.88425842439,2.26691501966,12.3341376888,4.13324886312,6.77750549064,4.06593877517,11.0047236966,9.03787005263,7.69982597947,5.91888179564,5.8864774239,7.62977519047,8.02326328281,18.0620159134,14.8260223721,9.29914803713,16.4020572392,12.7279661909,6.623470629,6.5826757056,13.2335186093,15.6287846796,10.3320773029,18.4486512774,13.31588095,9.91837822863,5.67469429903,23.2293099663,15.1266043426,17.9941012073,17.0928019135,15.6139577034,6.26194084839,16.1207450868,24.9655177995,11.242874984,27.7014658253,23.7251083527,21.2102351156,15.0368333796,11.3166748269,20.0583584436,19.566760821,19.4095453688,26.2736872456,12.2275538794,10.4250162122,13.0042318062,28.283235198,24.3930670451,13.3876770561,20.680297961,15.9015066443,1.92681659937,3.07247270342,3.16329633208,3.00928812545,3.07484546818,1.66418568808,3.83274754258,1.99475899989,2.00308241441,8.28017560126,16.8323933911,180.0,14.9298958593,16.6343088056,7.91305724934,3.67459432203,22.4736936225,16.8398296765,22.498187048,18.0677589073,23.791351466,11.1109415057,9.8589622349,23.1599185725,12.8739964719,22.8823675147,21.9880822176,6.16427432854,8.66642845452,11.5360982258,27.7649366112,24.5310789875,16.6469081355,16.1013774835,12.5395160883,10.4373855621,9.54847584989,16.7211531125,19.5055617268,19.8455301416,16.5347189868,22.6312007975,13.7338869953,9.13258763587,15.0545237553,33.7196177146,25.5415462537,22.1865724707,24.1828912434
07:00:00,2.97979875808,5.22686094062,3.98488097112,12.6213643519,4.91753960355,5.92865736673,4.87349192002,11.8246668114,9.55461700374,8.8574236005,7.18181784952,6.39170466121,6.27792036761,8.506854987,17.0663533525,17.0393204406,10.1790620769,16.0498534987,14.3782163507,6.77569603578,5.4186483908,12.9974455208,15.6142463455,12.0303810132,18.8689933386,15.4128915707,9.89900972938,6.05696527299,24.3494300979,12.6718237676,14.4470125149,12.8277904386,15.6159152525,7.80788781772,15.6906781435,23.6403501965,14.0770707697,29.1718362298,21.2994393803,21.3561587584,15.0516776768,10.716199596,17.9275916152,22.0868613141,20.4193715881,23.4671733679,12.1712344931,10.1186116975,11.9246569517,28.1373243644,17.8206633667,13.4999011112,26.2532326244,17.6725023417,2.03026606449,2.96921317222,3.6105198523,2.99704000788,2.9592001633,2.74674633333,3.20350197219,1.97728359061,1.99994936678,7.70138214693,15.9113511636,180.0,14.2430916321,14.5283200477,6.98533988336,4.19241223902,19.0390269119,17.982641146,20.0632523912,20.6315708739,22.5094345123,10.5875584665,9.67697204474,18.4748802149,13.6364875907,23.1396570637,22.435655141,7.5361926528,8.72725212652,11.7779428222,27.6555546781,23.524640058,17.4541115887,17.480685455,7.91731060727,9.54078931209,11.1364111848,16.4341979291,20.6911898751,14.2459662912,18.6074232653,20.3856856748,12.9423075669,10.6724225523,15.3406783714,30.3552255903,26.8063751384,19.8040869635,26.4626210202
07:15:00,3.06451177042,4.80094660808,5.16901688326,12.2403156373,5.43533261775,5.52479826155,5.54916751453,12.6351625331,9.99562384957,10.6153692626,8.60699031212,7.12397705073,5.6665151638,8.94392012557,15.9466589647,19.6005737651,10.4606800424,16.8935352798,16.5725341287,7.68098018456,5.08926966481,12.2943352137,16.3421386522,15.0645301178,18.3920328448,16.8781402914,10.0428847729,7.0898476489,25.010930297,9.96383450719,10.911721408,12.3771751366,14.389957395,8.82995309026,15.0191210266,22.3841469945,16.4255165874,29.2392749838,19.4235537025,21.0816121699,12.9928552149,9.4823747111,17.6801078998,23.4734401652,20.61010707,20.1132849989,11.6598073478,8.9621747583,12.8366184849,27.4249431346,14.462125598,12.8367710542,28.4655713659,19.6404847504,2.28008233087,2.72100823418,3.73115070837,2.9662156394,2.69386392208,2.50093560242,2.90876131663,1.97029018154,1.99065149032,8.56223749007,15.325522154,180.0,13.6964956864,13.1537136787,6.23150801871,5.36104151193,20.6569729563,19.4457932626,18.6319436386,23.0598650258,21.6448146268,9.84229241573,9.77705738478,17.4700047123,14.6509857659,23.6322115834,22.9070636291,8.57956231996,9.45521888949,12.9475909671,28.0162995227,23.4560431536,18.9674987708,20.6572384595,6.21607294954,9.76942193781,11.62739482,16.7049365206,22.8656945697,12.9553421575,19.6106895703,18.877768957,12.682954148,11.9470821969,15.517785477,27.5515980367,26.9881115158,19.0484565149,28.3765683102
07:30:00,3.32951293894,4.38427669673,5.31573077449,11.2799874637,5.58505097234,6.15360246037,6.21410416834,13.7774298454,11.1759164774,11.8591638058,9.9929998931,7.52693042226,5.98016846287,10.2742221589,16.4461942181,20.77909672,11.1875817056,18.0292811065,17.0985544416,8.54098974579,5.59189133482,12.662259428,17.3263995492,20.7096079846,20.3824805641,16.2540820706,10.715227443,9.31002228273,24.0563304351,9.40578034107,10.5060004422,15.8997713034,11.476338219,9.18847933382,14.4832272753,21.9851722015,17.6483209294,28.1571779769,18.0483558531,19.2538076021,10.6833438811,9.54945132651,17.3440071796,24.4192531039,20.3239179005,18.7303009115,9.8956956987,9.86844957535,13.8823388899,27.3049723839,15.8899929155,13.6231305504,29.4502530147,20.6574358983,2.76210007081,2.24448613804,3.97755653153,2.90415875336,2.21074548155,2.1048894525,2.87602654636,2.02969359168,1.96912522264,8.89962613433,15.5874172527,180.0,14.9441330395,12.1852319919,7.85476738998,7.44646901869,24.302090687,21.5843443813,17.0813819116,23.9539818009,20.5959198526,9.47814340914,9.08734969574,18.87569449,14.8965228722,26.3159819171,24.5548329649,9.89344936736,10.0629675813,14.4169605646,28.0061885664,24.2138501834,18.9850302337,22.4669106196,6.52214972393,11.1669336909,11.651652686,19.2226668039,25.6355726067,13.7906648748,21.2602333973,18.0736776994,13.6034376141,13.3465461935,16.7954408187,25.1590484439,29.3909126018,19.9383622566,28.6337085861
07:45:00,3.75612404278,4.1527192604,5.58339689672,11.3487444753,6.3944524985,7.35314772535,5.891105462,14.3223626662,13.9192730754,12.2435695451,9.92446667793,6.79624650411,8.07045882108,11.5496842961,18.414902651,21.6430561497,12.4819867535,18.7661989434,16.5988439489,9.19543102078,6.7453258784,15.0506194761,15.396689682,24.1116377456,23.4209815749,16.3268912841,12.1954922782,11.0744747326,24.3062897896,11.4731360344,14.5241793573,22.8000439615,9.63539702262,9.08390303566,14.4219083756,22.4633958363,20.2545591134,29.7003911316,16.2776429612,18.5767329671,9.960411133,9.88693117416,17.5871735376,26.6701755294,20.682756026,19.6099298805,10.7617081049,13.8258308126,15.5308036811,30.0864067181,18.7525532996,14.4102811567,28.4090736681,22.2943683125,3.00198929487,2.01425866417,3.33980353628,2.86578180427,2.0540257346,1.73487263592,3.21527599855,2.27082827694,1.94800402073,9.62595760318,16.5585030426,180.0,18.2470373359,10.9901899232,11.5953076944,9.99259861332,29.6349931225,23.8617663319,17.0248010546,23.7955315849,19.4715489796,10.4135266709,8.98186564881,22.4823425486,16.0501592526,29.8824957415,26.7173611726,8.9177951924,10.852699261,15.6627875849,28.7516401855,24.774536749,19.3696689874,24.4310991393,7.48974164015,12.2381309473,12.5846210732,26.2668136548,26.8759316426,16.6582572626,22.0503911015,18.1841010432,14.985460545,15.3666297721,17.3476691889,25.9246941283,37.3427125808,24.3955722905,27.1898807004
08:00:00,3.66664098323,3.51358895946,6.49892795288,15.4949763885,7.7211930827,8.35430689793,5.17476663939,15.7859952223,20.6976388767,11.7050211837,11.0000109658,7.07374618011,10.8286278689,11.2737854288,22.810339366,23.7024254588,16.0909514619,20.3548345421,17.5188604267,10.4020308192,9.18460310349,21.0842978145,14.7298705974,26.9974265642,27.3232198278,17.3745781663,13.3326789304,12.1201459913,26.468806768,17.8298156701,23.2485870086,34.6829155265,10.6747966661,8.33970201538,14.2076212632,27.8684435146,23.4566645984,31.3294044162,17.1185004493,19.2467609726,11.2946366661,10.365413333,20.3894766973,31.1335766334,20.1607375917,23.583278858,14.3492617285,18.0858139835,18.4863205931,35.4682959752,23.9181088995,18.503263329,31.6433233941,24.8074227234,3.00121987199,2.01596531688,2.85284487406,3.09767973994,2.34639461101,1.357371,4.2844349177,2.74964150984,2.00167089628,11.8543891515,20.9254116008,180.0,19.977976141,10.5654384247,15.483783849,11.6503961125,33.7121119076,26.5728421815,19.9126710892,23.1581611623,19.1886610926,12.6105706068,10.6599225237,30.3289529084,21.9959095062,32.3913168988,29.6233803472,7.30564245775,12.0006798247,17.3278868687,31.3666956231,27.6868780855,22.0143175744,27.1373799834,8.72874996004,15.1539527012,14.4984309004,39.6714683413,29.190734121,23.8831123904,23.9550322436,19.2723727309,16.9038502919,17.8100557756,17.7576137431,30.2775555187,43.3896204334,32.4651302053,24.7335063335
08:15:00,2.87111157601,3.56876193346,9.42244285247,22.0695839695,10.6340236144,9.68165736887,4.87747202038,19.0396364085,30.1444129641,13.6928143346,15.9693197002,8.90875732585,13.0049995947,10.8506358561,31.7602541634,27.181065752,18.7975586,24.5133357676,21.1063737534,12.5276539094,12.0541010612,30.2869379477,18.7094244783,30.8705061121,31.062916123,19.0213703837,14.5848024957,14.0350275862,30.6393001985,23.1934612626,29.9131935367,45.5532204912,15.1314059644,8.61154802128,14.3690061223,37.3231491799,29.9579526164,35.1039255358,21.0227278178,24.3067983925,13.2357779099,11.0816345335,26.556439307,37.3764745484,21.8664666909,32.2615950352,17.2263575213,22.2482329759,22.3915899985,44.9768765568,30.7498552653,26.38655521,38.6361449246,27.8640032364,2.75728308141,2.20672827213,2.87202662376,4.11488389964,3.10249057138,1.4691251202,6.01087655117,2.98042400905,2.30850081952,17.4461628276,28.2577689196,180.0,24.0156423485,11.9274486021,18.3602353825,13.0856301062,38.3198924417,30.2888223336,27.1458599271,25.0244541474,19.7211173168,13.204350281,13.3571063024,39.4898444929,30.5174697262,36.1370177483,34.0669002381,8.8744434413,13.9777766467,18.7294980871,35.4621157514,33.9505759297,28.0725405627,30.3111308381,10.8695926651,19.6090760523,16.2959709398,54.7370948216,37.4320791998,32.4737088029,28.8472441811,21.0336244187,19.4625131165,23.7462875025,21.9130792586,36.7972647874,53.3923199787,47.4009350089,25.573245765
08:30:00,1.84630167038,4.39293640304,14.7162045992,28.4335152072,14.7593088176,11.151162733,5.46207264607,25.3826046747,37.4977166664,16.2462022437,25.5820578927,12.7031154567,15.692642249,11.1367750194,39.7717181117,30.897987217,25.2029880128,30.2501814006,23.5714329539,15.1351034209,16.1289915957,38.0135877511,29.2590923125,37.2395549327,36.9673516055,22.1423392701,15.744520209,16.1668190621,37.975575373,32.6220834857,35.2547950651,54.0499622953,22.1925004003,10.8757087709,15.0194606106,44.2134597462,41.5484092031,42.4248533633,28.2051236686,34.306230055,15.7443189615,13.4015048406,32.1146306202,46.6987341406,26.5870722335,40.0895678872,21.2624729785,23.7412937112,25.9166710838,53.2017929143,40.774770148,39.5381082842,47.5840342031,31.5166685101,2.26523045835,2.51173907212,4.04700511616,6.23706614274,3.64416285426,1.85213357201,7.75310431092,2.97818347355,3.04352696814,28.5537423773,36.2743777895,180.0,28.2827765702,14.9618147118,20.0971341253,13.6632769596,45.8205563093,38.4352728286,38.2998933024,28.06067183,22.6654565925,14.1087995443,18.9891579197,48.3814304084,39.4067169939,38.6315368513,41.5951699002,16.8303655054,17.2534974519,22.5290871736,39.9152701966,41.1915758476,32.6692673713,35.4029694228,15.0851878169,22.9902726979,19.8832681625,61.4212203715,48.0705977953,41.6723002639,32.6900497845,24.618242301,24.9576546964,28.6246767003,30.1866430266,43.508343069,62.4322541689,59.5266252986,30.5507466072
08:45:00,1.32675396359,4.92328672189,21.8975904919,31.8085501518,18.4553661878,13.2154718475,7.63647551681,32.0349456539,43.7068453847,22.0188094875,36.6492511548,19.0411414363,17.9746248929,13.2874706481,45.8312939526,35.3100685371,32.3133023455,39.5471786865,24.9113395464,18.7318746646,22.0762444287,45.0454192049,40.8837661315,43.8722393451,45.2379751745,27.569815392,17.4348843139,17.7931647913,44.3568371867,44.7867704883,42.1838006443,61.705703396,30.7825435275,16.8853559392,19.5343701412,51.2790237677,52.1021151609,52.4852357002,32.8350309678,43.1808440035,18.3091880986,18.5276652517,39.9777412766,51.647271179,37.3767497477,44.9886968183,29.8743705525,27.4967361586,30.948443038,64.7789363853,48.0201207677,50.662763616,55.4111973244,32.0899707305,2.00554737522,2.44273271476,5.28338343453,7.55413052933,5.08827955545,3.35014469051,8.8478685066,2.79707958424,3.76478088079,36.4372658906,48.1785031619,180.0,34.6708347211,19.6992338057,23.8464811427,14.577052825,57.9365402115,47.8601150397,52.6585770942,28.884167205,28.1759832262,16.8291516851,26.7576057057,56.4404347758,49.420588938,43.1127772729,51.6216379123,26.6306891298,22.3417966718,27.9291238874,46.6792970819,51.1346715458,36.7843462936,39.2412517806,20.8092681466,27.4661622307,28.5744076605,66.2071826234,56.7127624237,49.7737229312,39.7519835621,33.1093637351,32.7604544764,32.4020001115,43.1247238213,50.8407819235,70.806225999,66.3639696537,39.3611649426
09:00:00,2.35440781212,7.31111443766,25.0515686308,32.5494384386,24.5618955847,16.0249081035,11.1844423408,43.45149563,50.7256611871,31.1718561552,42.8178093123,23.1009252149,19.5487320898,18.1844404325,53.3821082044,37.0782139618,40.7285882176,47.8857720695,25.980529141,23.5552561098,26.3048460907,54.136428787,53.5701533414,52.0571158027,54.1415325178,33.8514507757,18.789906636,19.858071022,49.7111397885,55.1144434478,55.101029194,71.9530816599,37.4409980994,26.6422436594,25.2501989062,52.8325703062,62.3963328862,61.628413621,36.6715453447,50.2539681717,22.9306756754,24.8597470832,52.8302006754,57.3715331519,54.1155502948,48.701345459,35.9538667389,32.9637128648,39.540442883,75.9406124789,54.9636340488,65.3891457014,63.8737719765,32.8751250632,1.92825828771,2.48796605377,7.3927544298,9.681848834,7.26338306223,5.10263966676,11.125710826,2.53490507492,3.94324015987,45.2493867033,64.6246544091,180.000000001,44.5057195755,26.2467735125,30.5660092497,17.694119936,76.7491682307,60.5407246827,64.9059305775,23.990949607,37.0760883396,22.6530409033,39.8856621508,66.3407208988,58.5025891996,47.5555683755,60.3694130531,38.0719637835,27.2496338339,35.0739036404,53.8767941375,59.1215050353,40.0590908806,45.848395109,29.3051907515,31.2248188473,41.9169382003,74.7358784665,62.8238500112,57.7282124349,46.9214804528,38.3536414759,38.3267825084,39.7856810782,58.9004543636,62.2078867727,77.9465301264,70.3814860565,50.5981636392
