,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
08:45:00,6.91282699481,10.4709622211,11.0039899914,9.11064215071,9.48594989906,,9.28998599197,10.9788318084,14.4366583005,18.5637421727,12.4376115644,,,9.69215258278,11.6409227008,2.06950112287,2.97565346419,1.51443552771,,,0.229933990482,4.08499886357,5.1557618106,1.11648237421,0.215341959022,,,3.9533966261,8.30919143981,4.26993635428,7.88439755935,5.08147124588,,,5.47911760254,2.58386956606,5.42391830172,1.16840618686,1.19085382798,,,2.010612808,8.3388276862,0.715073299443,4.68844059803,-0.0868436142078,,,5.85806533795,7.44850599726,0.578881330812,5.05216566838,-0.606856943342,0.0684698742504,,,3.06689612665,2.09518182134,71.0000000034,3.40742398645,3.58179618638,,,2.19380731632,4.39290955001,5.21808941272,1.0978200706,3.35882812773,,,2.7165694306,4.80387860831,1.32173400167,5.5143041306,-0.596795679136,,,-1.02506006842,5.48371733828,1.80715165878,9.1623196641,-0.473635792726,,,5.07239710958,6.22245172177,2.37906229655,2.38120999932,3.01881427698,,,0.389048978764,2.25927943973,5.80905400178,8.8519429681,-0.320669322546
09:00:00,7.87016432268,18.9912082193,13.8338917595,12.8220858821,10.6039441915,,11.5893079882,13.4872832692,17.5032803626,16.08551103,12.5695984515,,,12.4965269461,15.8850450831,7.12370685337,4.42593184549,4.19541665558,,,1.12119558834,5.86203854468,5.42065631061,5.16325972448,1.92981726178,,,6.7197219662,7.49236397029,6.64081661145,10.3786749398,7.33455960469,,,8.9246891628,7.26849525286,9.58498074107,5.26170807153,3.11138153208,,,8.63102525718,9.49090510607,5.49860047772,7.66595766801,1.48725056297,,,8.96123008076,12.5554771809,5.10030304511,6.86102089409,2.3845355223,1.76612760845,,,5.49742834224,4.0476804026,71.000000022,4.02163483778,8.7179008691,,,5.20340545331,4.50508749108,5.41757815049,8.02684857903,9.38227228916,,,4.69224272,8.63786563198,5.01141113831,4.12666385322,1.33986293643,,,3.46271446812,10.0311980324,4.75016294875,9.98266141646,2.53601776778,,,8.85143340389,3.27612437191,5.98329665389,5.71878632795,5.91202767626,,,5.21085779794,4.67772149862,5.14096484628,8.82478675708,2.33210225706
09:15:00,9.00184766093,28.5695297753,18.6558135446,18.3122453121,14.7500386858,,17.3086580005,18.0380711132,21.6965858237,16.4797955418,13.8263622099,,,17.9165961438,20.8473220637,12.0389103381,7.92490329839,7.84752672802,,,3.55258920523,11.4690804986,7.37402718943,8.97707232632,5.21360864649,,,9.5792540541,8.05715362115,10.4718241601,13.1041572016,11.4247054717,,,15.412025518,10.7853818075,16.898206577,11.0181975825,6.65020158022,,,15.2302120904,13.9653271535,10.8519810571,13.2665935419,5.23503196857,,,14.3482641477,20.7654363699,12.4639620978,12.565544783,8.58964187462,5.32684559414,,,9.79416830453,7.80981534118,71.0000000337,5.82099771622,14.6904131791,,,11.8253889577,9.83144633213,9.18088806282,16.7602369463,14.6880601951,,,7.23477714819,12.864095439,8.0576202716,5.71041531463,4.47011291027,,,12.0006091415,17.61124405,8.07887092115,12.4783638406,6.49294291373,,,12.485675479,5.8848935785,10.8294064181,12.2939426579,10.7676125216,,,11.2545686596,8.57760467805,8.85476768723,11.0937446098,5.62621248176
09:30:00,10.7418943746,24.2815860084,23.7939918451,23.715664375,23.7444452009,,30.6894480685,23.6989651853,23.1366973575,20.4480893029,18.1934828077,,,27.5750011183,29.4758180748,18.4286956247,14.6693972035,13.0510613784,,,8.82185568351,21.0120499089,13.8630382046,13.9984359824,11.7763976716,,,13.1857557052,12.4004495722,17.9414530686,17.5346993463,14.5198471459,,,22.1335131374,15.4297995922,23.3457977239,15.577646203,11.2028432523,,,20.5248971772,22.1026282441,20.3478674833,24.7815516877,10.3556867051,,,26.3805767013,38.0704172082,23.311489737,22.3393642103,20.4531049557,9.08142886594,,,14.8284670758,17.0958621892,70.9999999881,11.9473949733,20.8999390053,,,21.2653322901,22.575991991,17.2366840233,29.0486478731,19.7939910118,,,11.526548414,16.5990795489,13.7940711216,10.9836225472,11.3078197278,,,25.7133151523,23.1940246496,12.6786463609,20.3594647755,9.27237569504,,,18.1274623081,17.0516071542,18.1926736884,23.9066863347,17.7238849064,,,17.3203680103,16.0849271014,19.0504248285,18.305357076,13.5387954825
09:45:00,11.5206265068,22.0639764873,34.2610360697,32.5423963811,33.9072981838,,45.3557742311,33.4615931042,26.5505659902,25.7322948243,26.0038157934,,,35.2611905244,39.0239534213,29.8288260844,26.0064363448,18.6912627842,,,17.1215574551,33.6587109618,24.986798735,21.7137218426,20.9006486024,,,21.0344816268,20.804833761,26.2845490856,26.9358419726,20.9385119825,,,33.4574874544,21.9262553541,33.1135429423,24.0434302512,18.8644326676,,,32.7713802066,34.3126884861,31.8549500877,34.9688484894,17.5783369377,,,36.7230486088,52.9315805996,35.3565930153,37.2250164848,29.2402838585,10.7069912702,,,25.8833391091,30.0004658165,70.9999997667,27.9007135282,27.3662578788,,,31.0780319961,37.2798377212,31.9518547799,41.1222701676,25.8417435153,,,16.2803779197,23.2311386028,21.4392328651,17.243518954,19.4266230539,,,37.7243054181,28.5272209901,19.2771182107,30.3792743786,13.7636663341,,,26.9577819061,30.0093257546,31.6895677276,37.7691393879,27.3839358812,,,25.6993049775,24.1704775357,32.1183631995,30.9186754856,22.7945604268
10:00:00,12.2845773517,23.2901287639,41.4815719372,46.8711658903,42.0698416799,,59.55283639,42.9196521179,36.391748033,37.178136011,35.2032511002,,,43.6146107803,49.7935122582,38.9176738389,41.944249099,27.5512503659,,,31.0005455849,50.5527280255,37.1183417498,39.6124290922,30.3160303614,,,36.2491751156,34.7519889806,38.8530518221,37.5037269862,25.9595330451,,,39.4852576277,34.1396566557,41.6956355448,38.3636336396,29.3244094412,,,43.1761665131,46.8001314996,44.5461842353,49.0233969558,22.9207314219,,,42.2794073348,65.6692530316,43.6899995115,55.586310495,35.3103277643,11.7177889213,,,40.5848647061,42.4265467143,70.9999992755,49.2860503533,34.3092713199,,,42.2876200408,57.3321127944,45.219921034,59.1139968919,32.3850144579,,,23.15599024,36.9504341445,32.6234324358,27.8200928438,23.7845230978,,,51.730422552,32.9704649307,27.2446226912,46.5721732567,20.3114136633,,,37.9026976717,39.887895727,46.5512104218,53.2800511777,36.9030866834,,,34.0416926679,35.6351905457,46.3481600727,46.7820370164,35.040625517
10:15:00,12.9390271894,25.2055174157,48.3581530272,61.6959047006,45.248723367,,68.8142859846,58.7436532659,50.0126678164,52.1667471199,39.7300470741,,,52.7523272554,66.0383718979,50.7159588415,64.4781911532,37.0316179754,,,46.7645562275,63.5203435447,48.6571027487,65.7566132314,41.9509146659,,,49.8846162146,52.1139305019,56.4298027182,53.5628123479,28.9847194324,,,45.4031579071,54.0824003515,46.3591829595,52.399479778,38.5433478526,,,55.4030010179,61.1442039329,53.8846251154,70.2024131169,25.2439450372,,,48.5072831262,78.7405997923,50.6892507733,73.3370221595,40.5418181377,14.2140953933,,,56.7924459504,54.2760937411,70.9999988865,73.9070753647,43.216365091,,,55.7621643974,79.5622710398,57.030693927,78.9121807729,37.2940135613,,,33.2523541098,63.4848505117,44.0985310372,37.5562946171,26.4862739612,,,61.9798983307,42.8289463508,37.3972596021,62.2139932591,27.7328838468,,,51.9727091915,51.7985119095,60.6295882018,74.2998922884,44.6687867883,,,46.5992342334,54.9390456242,57.7926663214,67.906427875,48.334988102
10:30:00,14.8201015971,36.4753594922,56.8301890448,76.2682128296,50.3209075627,,79.5681016747,77.7648033521,63.9822536054,69.7229903856,43.1159598611,,,61.5621837584,70.4253851369,64.4090533674,67.7151199966,43.4304587331,,,64.7182343679,71.2823439135,57.7658337315,72.9834715755,49.1016125109,,,60.497234736,67.258695635,72.09153957,74.4301020458,31.4968141528,,,57.4270072871,71.4875699846,52.9800215247,65.284924797,45.8330032989,,,60.7632956159,79.3238894346,66.2409594471,73.7163190913,27.5675898196,,,56.3054915604,89.2642801066,57.351889326,81.2183064069,46.1926809147,18.8606064179,,,65.1957555133,68.5980023267,71.0000004212,74.9953577718,52.9563823152,,,59.7944929575,90.1355406979,64.9341425326,86.1771807538,39.6689216315,,,43.3564577843,80.6614037533,53.3695250012,51.6548889869,26.0675835499,,,65.2601194269,60.4669252683,50.0618833602,77.4362197216,38.2225157219,,,64.3729207085,71.0765776862,62.6742666549,86.1290309491,55.262312304,,,63.5402474901,75.2716411731,67.8084126739,80.7387602354,58.6543944965
10:45:00,17.3858717728,51.3538372119,62.1207836403,82.4478808932,55.6659118511,11.8371378597,96.6136901507,85.3270026487,72.8440980318,78.5382338028,47.4326514585,19.2497988516,14.0084556865,73.427369587,75.5446609753,73.7504120089,66.8055108119,46.9826298083,12.6114706163,6.36150997122,73.6371125361,77.5188284361,67.2930812008,76.6169749776,55.1626055592,6.98802478053,10.0677219526,74.8742280624,76.3264606858,80.055394737,86.2969753723,33.00912135,6.79826596365,8.30793716433,66.966308948,77.9234483952,64.7156216597,73.3549652713,51.4184354721,4.69090576195,3.34463905905,63.7624601661,87.0297637881,80.2166237182,72.3707107634,32.423387731,11.7336414156,9.73538244274,69.5582819623,94.8777536149,63.2969561477,83.2972738468,52.4372057559,21.8938269399,2.66333956141,1.4683119335,68.8995741651,75.888980419,71.0000079276,75.968316055,57.9654359333,5.88868328007,8.82337006378,63.1531048175,94.0926079295,70.4188480703,94.7449942317,44.021892352,9.54375405736,3.31669005709,55.750581299,89.3374088948,61.7443485852,62.2060514319,30.0916118472,4.9000882768,7.38441044388,70.3986758517,70.5907689995,64.7708291784,85.9423514619,50.5089804324,7.87651469185,7.55930027139,78.3630180827,83.4604726224,66.1756349648,95.468050812,61.9273657622,11.179869413,10.9888271389,73.8345817875,91.9444843457,74.1665972154,83.9130905216,65.3056148112
11:00:00,22.4542057207,65.1444138084,69.7926623751,83.5582738485,63.0214386906,12.7564451095,105.614254753,93.2445447233,77.1772865169,81.8578645952,52.5198641418,24.5853514281,18.8348859662,84.6067065225,81.1355381398,77.6753826233,71.4695987887,53.0620709041,17.3382663149,10.0388821486,78.8602545263,83.3452085899,80.5557241959,82.0141511392,59.325150452,15.4931840422,10.9553260729,82.8083241048,80.9400106904,82.3554214385,90.4946075282,36.0413168621,13.9489818438,16.6447626294,72.5765514963,81.9831784539,76.7634107346,76.3747481815,55.8586974663,8.12820321506,9.12732774426,73.3793132958,93.3046239071,89.9311355226,77.5385458353,39.2078810935,14.556982083,16.0992854112,79.5389205361,96.6899197444,71.4397135649,87.2044222752,55.0643204927,23.8290490683,7.95382445719,2.97545262393,74.6171716499,79.4497313119,71.0000246117,78.2526531507,60.766874256,9.41145528381,14.4357099785,65.0175131592,94.2030774995,79.1051066944,102.097257096,51.5272361432,15.5615064662,14.4724183038,68.0040891207,93.0473734549,65.7918860447,69.9901794567,35.9863517369,7.28233715287,12.207304633,73.7029187627,76.9729943239,70.9326655491,94.5634478541,62.8759176785,12.8030906676,12.4774918528,88.456845757,94.5354209109,71.2755490054,104.759473631,69.3830250867,19.8536552998,21.7603054118,83.3715914948,97.7257999492,81.0215926833,92.5859546869,66.2866301639
