t,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-23,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-01-30,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-06,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-13,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-20,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-27,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-04,2016-03-05,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-17,2016-03-18,2016-03-19,2016-03-20,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-25,2016-03-26,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-01,2016-04-02,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-08,2016-04-09,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-15,2016-04-16,2016-04-17,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-22,2016-04-23,2016-04-24,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-29
11:45:00,12.6158503272,6.71985515222,7.89073605541,4.72952088309,1.39512741542,12.2323739431,13.3966575859,5.9228033358,12.0282438677,8.31711559879,6.99410142144,2.2955341104,14.9369337068,12.3274527827,10.9382742586,24.1581515602,14.2203669977,2.2866720368,3.71908074832,18.5333358723,15.4450819573,10.4473969615,7.23828422073,9.95977738471,3.41344885288,2.99398264959,11.5243181053,10.5094713149,13.3037488311,6.95672946258,11.8175383537,3.0434702014,3.46819558915,11.9236193995,18.9580508257,10.3621458243,16.8044410499,8.11856745468,7.84351924245,1.32708811728,13.4829186498,9.85316511486,7.24297319416,7.62982753624,4.86444300891,4.58863014301,4.74510546942,10.1539982842,6.92645426478,7.75737373925,5.97082264271,5.73087953868,3.43777249224,16.1829686676,13.701757453,19.685202218,8.86713607622,19.2014328827,31.9096484647,23.2258288337,31.5309030788,11.2073855895,4.42007709597,42.0000513676,9.39646367546,3.84290327522,1.41761684826,8.83938742688,7.04995066768,5.02704215024,9.08859342855,6.52330157262,3.13306130687,2.86242050433,10.0250191861,2.88321314303,6.91766807482,5.04260652112,3.47429641211,1.74642098873,2.91052316273,5.6133015217,5.36717987042,3.72576981877,3.86627618313,6.81120549427,3.50520411,1.01488113963,10.0856483226,6.93778131072,5.71616692192,4.16696771473,4.43449631811,2.78088010424,1.96449531775,9.3473465544,7.82349763853,7.79254899271,4.51937328963,6.99295877556,0.392209634413
12:00:00,14.3741938776,11.3780808575,16.3268114014,8.29283503277,4.77510750654,14.5077003595,24.0591558862,11.9423793097,20.4081154028,13.0252270587,5.6984218512,4.46817183953,13.8824686483,14.5577000456,15.2677865442,23.4822979244,19.319112696,4.63024942199,6.2558375686,19.7022179655,25.5446658119,14.856828523,12.1152299914,11.871274024,5.2865579611,4.54849100756,11.3043069294,13.0965294862,19.6261037508,14.887524172,16.7643412243,6.86704037226,6.11827148476,12.2392486923,22.1619067678,19.0451411747,21.21904946,19.3686758326,8.32693092133,3.63139258422,15.8574215032,16.6075965903,10.0396006187,12.1325755743,5.57784336883,5.0307546176,4.77497540302,8.50689111682,9.22308340027,14.6560379212,5.20518717308,7.04890936869,7.11298918108,22.8910359693,16.4712921693,26.1066148671,14.8093820281,20.2341898301,30.2651870398,24.8536630631,32.4559504519,11.8219201706,9.46168452038,42.0002303328,11.6371296922,5.7834692991,3.12619348068,10.3485040047,12.7311612928,10.768151769,14.3701908321,8.58497488591,4.14126337942,3.31039315296,10.4275001069,8.34900811035,7.93531649955,9.57111431824,5.98275155312,3.15928620691,5.67389322251,6.68405906387,8.88287751169,6.23701606059,8.73861497479,8.72300937587,3.64047997455,4.36497035019,10.5531199827,11.6360018012,9.70690055686,6.03807108965,6.78901817232,4.17003540187,3.10280620407,10.0205283598,13.7816250077,10.1743932933,9.51689575102,8.45604896169,3.47310999849
12:15:00,20.9008367734,18.5965962583,22.9814146366,16.3971074163,17.3648327668,16.3182788895,23.9283390145,20.116348612,24.7314992024,15.0991073211,8.41453943808,10.0497413479,16.954136176,18.1330417429,17.7207503127,22.4901411682,21.9771243989,10.4004827336,13.3544328922,23.8044283139,30.7540857518,20.3714661615,18.5156073207,15.8632158939,12.3327693636,10.1150340663,14.035659543,18.6646450277,21.3409610084,20.9048599563,20.0760673875,14.6036701403,9.83195620208,16.7076391861,21.4496610585,21.0038448764,24.0247757703,26.3816493013,11.1233041153,7.2815208166,19.266087057,23.6556978361,10.3502816549,15.3756685398,8.56235771093,10.2956188062,7.31463439778,10.5517873809,9.66680400619,18.0399546247,6.49790641803,6.90518012133,15.9126608854,27.233165936,17.8373119798,31.1576230803,23.0173558275,22.8640810123,30.8014286856,32.0298396251,34.3191916673,14.0216835727,13.6631377528,42.0003065627,19.084868358,10.0382287726,5.99953641659,12.1788457287,16.3124705825,16.4551770873,17.4746013786,13.6000450539,8.88334283823,4.03352479293,12.7799426554,16.0483767916,11.1176287746,16.0144090731,7.54261386992,9.07930944762,12.6162169568,10.5282135626,9.66421541211,11.2967226649,15.8784014002,13.0124022689,4.76534761909,9.68529728149,14.8492949976,16.4586596703,16.265300348,9.57523903511,8.2745473903,7.99743049103,6.31212645488,13.9990170564,24.0927570998,8.97113960855,15.4756716331,11.9332215967,9.76959109374
12:30:00,32.2156906052,30.1795293353,35.4194508473,32.9976262018,46.8238333523,20.183960928,30.0925800269,32.7143459517,28.1256767256,21.8540710708,19.7574076368,23.5128307355,24.5131315799,27.2831722182,23.8850439586,29.9007823224,33.1154427189,23.763529054,29.0650300854,30.368859242,37.0938462386,30.3828589081,29.7323877841,24.273500177,27.1520694323,22.6086645117,20.0611258766,26.0018163375,26.5886154402,31.3202295462,28.5889576873,26.4323383583,19.4363155933,25.0030546971,24.5813985108,23.4236829314,35.174638961,36.1830012858,19.8917384968,14.3605114114,31.028235005,36.0759454417,13.6098686771,23.8343002119,16.9334132797,25.1444531875,13.3239207088,16.9669082745,13.9585407524,23.0823005287,11.496960746,9.74011398187,28.7352642587,29.0613492938,19.4537176397,31.2545926874,28.1380212659,28.2198610036,31.168702393,40.595374726,39.1469196637,23.7480642754,19.2609135607,41.9997166564,31.6724929376,19.3544365469,12.9500249981,11.9546297358,24.2316546159,26.4977302666,19.4842565466,21.3519591597,20.8106503107,6.68618810967,18.1773082457,29.5168766801,20.7586357513,25.145049107,13.239787432,21.6950763196,26.5686615952,18.5510438469,11.2110788075,20.9793178728,30.0758531435,20.6109544332,10.5884388745,18.2161589539,21.6966367567,26.258188694,28.5452313377,16.3683939423,14.4440549912,16.3612343595,15.4578530265,22.5470628158,41.5466486224,12.2489033663,22.3231628547,18.5264612061,23.5510136544
12:45:00,42.5369934166,40.7378155522,39.2429958468,45.2554647253,78.0819738855,17.9880400909,43.7835739501,39.7733088138,28.2549310267,30.4072183506,35.5129010259,37.230545407,35.0123777976,29.9717023287,31.9070452508,33.4530400814,37.7008594709,42.0845799985,46.7289267298,33.3155464465,35.0762802302,33.5396234707,44.0273283162,35.7135922678,41.6789058122,34.7143668965,23.6521367749,30.566751758,30.8274398659,42.6354057602,36.9871181925,41.3246835981,30.0945031064,31.3844806695,34.4178818206,33.4823915887,42.5721064717,39.0349466092,34.0447255076,20.3883613324,41.9310109272,35.6354203247,24.5526507497,29.2323272899,30.6817218978,41.747250628,19.1334037958,25.3269002334,22.4656102965,26.8763430631,16.8545176893,16.1837728929,36.6539541832,31.761244897,21.2997859449,34.4986433577,32.7836304797,37.7021223539,35.4144797816,48.3316053222,44.3270440448,30.899083613,27.1652132055,41.997284088,37.1630799798,30.4028899285,24.8909657341,12.9423817056,28.3015483072,34.3950692937,22.5323850578,26.4240741781,33.6078507479,10.8557062028,26.1546729809,36.1933116857,32.9171107317,31.7067745951,23.0749485692,33.0365535363,39.1299604536,27.1014016201,15.6949221093,28.7657845961,38.3643850884,24.4254315904,21.2876903336,25.8272578247,32.1190186538,32.969703308,37.1699578725,18.8569801324,24.3014172136,27.364755013,27.7811299656,32.9308816971,46.7475400833,20.1315207773,27.0354880681,27.4713091221,35.5475562271
13:00:00,45.6516020407,42.5233317023,39.2152237538,56.3364439186,86.4214522841,17.245888138,46.047855757,47.9014827801,26.5321917086,34.1675070619,51.9520789104,50.5503292955,45.8785346071,31.5958984957,34.1630440414,33.0841684948,36.4692810321,53.2017690743,57.5573602364,35.82680714,33.026028207,31.724658741,46.1974102828,42.247957207,47.5435872836,43.8997967506,26.9578713292,31.8145269567,28.3385762245,46.7117023238,44.7767395974,53.3876677154,46.0970410028,36.1047931528,38.6570766622,37.5103412346,45.7713678201,34.8336975226,43.211279596,28.1640447207,42.7050903933,33.9493125189,28.693179583,29.6250060493,35.9311688285,47.9850976191,24.4258117005,37.2725931449,29.638247791,26.3507486004,20.2288232883,21.3859908334,37.2713570242,36.5958130126,24.4473584115,36.4817093855,33.2903930735,44.2717356058,39.248827685,49.829118918,48.9536350872,33.8766343688,31.7644108275,41.9923990182,37.9747201581,39.1455131296,36.8356151375,16.499367846,29.8716773387,38.6509916222,23.7837025405,24.695828765,49.3383084792,18.7570259525,35.8924964725,38.4827323585,36.134555515,36.1532274982,30.569198747,41.7435551721,46.7615236572,35.4260508922,18.8650421142,28.1784700006,41.6257058318,26.1406905962,29.8641608399,31.9559784436,37.7470405698,34.0119405596,37.6722816235,18.7436540415,27.9624003135,32.3888317383,33.6073952657,37.3225641274,45.2063747455,24.2450213198,25.9424402164,36.9503842643,41.3873700498
13:15:00,48.2723864776,40.3123234747,45.6133169935,70.8954552633,84.9605186948,15.4967966476,40.3648125204,56.1604958046,25.8605263212,43.7294584044,58.3201985434,54.3585355205,50.5135061908,27.6096224829,37.2152396804,33.8253414494,36.7548948377,62.7840697917,59.3037145564,40.453865642,35.1151701893,33.7416166694,40.9849584177,42.5138754998,53.0186110026,46.2038758106,34.823235081,34.0667140852,29.7482867234,44.1396214426,53.4897762115,60.0788853693,51.5454453315,40.647906858,40.1611850689,38.873119078,47.1823995805,33.4055730587,44.9309641948,39.7098130522,44.219127119,35.3619714088,32.4407053879,26.602938186,35.4421955392,52.2445793959,30.6170648734,43.7910164291,34.9954677956,26.6814973865,23.569088205,24.1290559962,36.8821907804,41.3055241131,25.3687046662,41.7984383497,34.4272576923,43.485326594,45.5528533737,47.0152923729,51.4666749776,33.2844421005,35.116454156,41.9898834322,36.1993441866,42.7384505057,46.0152982526,22.0980909535,29.6884707782,38.9791561185,25.338154507,23.1985132198,54.8496863383,26.8936818335,42.2618923706,38.4035658766,35.1182504374,41.5245005872,35.0937422927,46.3827882286,47.6648404244,38.5689524328,21.0808914004,27.2081520598,38.0127537935,24.590725125,32.74352857,36.3851897107,37.9732650778,34.8642308804,35.2450885166,20.0171118414,24.9399361202,34.0847937961,37.699826989,36.03243714,42.9390157055,25.9523929177,25.3028361065,40.2036873087,41.6034939065
13:30:00,51.8090126458,45.8343731535,62.2840104834,76.9145024039,87.9745186961,13.7882809218,38.1181197989,71.8090102812,28.0786189969,55.3525794545,59.958359357,52.4408586106,50.5621275173,26.2749390629,45.2997434354,42.5393958427,42.9533262586,74.0969175124,52.6066531684,46.0943319923,37.4637297834,40.944831724,32.737476889,44.6527132376,61.2892995579,51.8659323119,44.1773909135,38.0158313818,39.0056811207,38.0862606746,55.1047031492,68.0805957886,56.3471501354,36.2881501903,40.4782557496,37.9156298585,45.6724426868,36.9094972052,46.3207835452,42.7198283618,51.931594033,34.3191213411,34.8181192094,24.5067132971,36.1129058407,54.9420859556,38.2714603639,45.3240132163,40.7797892881,28.343072467,22.3668765245,28.4232749078,37.2384594019,44.4392226462,27.6413775123,46.0800590583,36.3823868344,38.3560499416,46.710008748,52.1592647109,54.3988757285,31.9729636279,35.7504692652,42.0097612783,39.9794424629,48.0468201531,47.990109849,30.2123181326,26.7550030162,41.7912384042,27.7282813892,27.5717603121,54.3130302005,30.2551564155,50.3489813801,37.0087747016,36.3063648049,46.5542316367,38.8813860394,50.0338493631,50.5183526591,42.721965227,24.9718383173,27.4886687463,34.4270557299,26.3281476593,32.6231500204,34.9858036392,36.6961736113,34.9820235824,31.7367012309,21.1787416205,22.8221558354,36.3263069704,41.6068126663,38.7256995133,37.5485765687,26.1265808549,27.4906121124,38.5704504021,39.9542264813
13:45:00,45.1263735088,48.1944160737,67.8474051543,78.5846784581,89.8177604768,14.1742629678,37.9618281105,75.7846969946,25.3041012259,59.8374604795,63.5672636966,47.8659220531,46.6422211736,28.6346680424,46.2221872129,46.4384856729,45.9504109903,82.8376080146,43.4974104382,46.7380849465,39.9613902167,47.2054050346,31.8325530296,45.7780855117,69.5037535333,62.7175428689,40.3030315478,44.220968914,48.5632957281,35.4394746922,48.6204431021,71.917287463,53.3186987949,35.0040378387,40.8339672754,37.2365401599,41.7439389121,42.6932478324,48.6358134984,43.4686265799,58.8627098261,36.542543845,33.9669013168,28.4710446076,31.9570124652,56.0048485038,44.7191654746,40.7313937787,41.2427956551,28.4469621141,20.9755759224,28.020842102,36.3277852783,51.9347048331,32.1055204209,49.36092362,40.4894276134,40.9264070836,47.998038961,49.49959021,57.3495993972,30.2237715697,31.9626739177,42.0922896407,39.0588170119,50.4588391568,48.289548191,41.119634581,24.6974068864,47.5406018642,28.8103146046,31.0581763718,52.2000132643,32.0435686016,56.7160994649,34.5441895416,31.9005670489,46.9270572466,35.9774522348,51.0107587759,54.6708214165,38.9390433943,33.005468414,28.2375539128,29.7446308105,28.7241204311,38.7133245479,34.8583528204,33.867717448,32.092306217,30.5052654123,24.6957077848,27.317318421,40.8174494531,41.4770858507,39.0026757457,34.7601395298,31.7357445802,26.2740323955,36.9825310744,36.9908786458
14:00:00,33.4713367383,44.8286412633,64.3555809697,72.2680717359,96.8955148336,13.132102949,34.3137483752,65.4072061672,23.4973665047,51.2795328379,61.9308951938,46.8206321142,50.2473547118,29.1817511023,39.1887160488,41.6559732532,48.7253322109,72.5096020515,38.793914395,42.1863392759,39.5703751501,44.5047742827,33.1728203944,45.6981809386,72.2314743963,68.8584194718,38.1280678782,45.2095539861,50.8623046157,34.9145968189,42.8265124636,69.9522573054,44.5823344191,40.197784112,37.4974867184,35.6032568486,40.5544446557,40.2856084,52.4895628155,44.7910869134,60.1695051229,35.1157777671,28.3922935605,32.6172187483,28.7624164633,55.4759263345,46.7474267802,38.2249419554,37.076491707,29.4185096659,21.0148210248,21.8274022968,39.6608719951,56.8513216029,36.3185218384,45.5152660268,39.3172534743,40.5267995719,47.2746716695,42.9562937265,57.1204565841,28.3725112888,26.5483473451,42.2582030472,35.2223849322,45.2690842953,44.4628918449,50.6729892312,25.6318091906,47.0981330749,34.9839227922,31.7568471048,46.3562483274,30.9507244635,57.2276198285,33.2380917017,27.489795991,43.2191507437,32.6644910475,49.5598379407,56.4343024332,36.8302106003,35.7056906048,29.6950039195,25.9873867451,26.4935103541,38.9780514685,37.1317625676,32.047500643,27.9580191709,29.435524245,24.6776914992,32.4893711676,38.6096854952,38.2457547625,43.012291309,31.2016336459,35.4948818324,26.4401368919,35.2308860509,33.3563083084
